state,year,private_establishments,private_employment,source_url
MN,2024,205850.0,2541147.0,https://data.bls.gov/cew/data/api/2024/a/area/27000.csv
MO,2017,195618.0,2366305.0,https://data.bls.gov/cew/data/api/2017/a/area/29000.csv
MO,2018,191036.0,2381261.0,https://data.bls.gov/cew/data/api/2018/a/area/29000.csv
MO,2019,199367.0,2399573.0,https://data.bls.gov/cew/data/api/2019/a/area/29000.csv
MO,2020,207760.0,2274758.0,https://data.bls.gov/cew/data/api/2020/a/area/29000.csv
MO,2021,210658.0,2343799.0,https://data.bls.gov/cew/data/api/2021/a/area/29000.csv
MO,2022,224172.0,2424908.0,https://data.bls.gov/cew/data/api/2022/a/area/29000.csv
MO,2023,237209.0,2470993.0,https://data.bls.gov/cew/data/api/2023/a/area/29000.csv
MO,2024,233602.0,2482938.0,https://data.bls.gov/cew/data/api/2024/a/area/29000.csv
MS,2017,69163.0,894142.0,https://data.bls.gov/cew/data/api/2017/a/area/28000.csv
MS,2018,69895.0,897893.0,https://data.bls.gov/cew/data/api/2018/a/area/28000.csv
MS,2019,69812.0,901829.0,https://data.bls.gov/cew/data/api/2019/a/area/28000.csv
MS,2020,70473.0,860833.0,https://data.bls.gov/cew/data/api/2020/a/area/28000.csv
MS,2021,72415.0,890583.0,https://data.bls.gov/cew/data/api/2021/a/area/28000.csv
MS,2022,77261.0,919857.0,https://data.bls.gov/cew/data/api/2022/a/area/28000.csv
MS,2023,82654.0,932127.0,https://data.bls.gov/cew/data/api/2023/a/area/28000.csv
MS,2024,85365.0,936506.0,https://data.bls.gov/cew/data/api/2024/a/area/28000.csv
MT,2017,46568.0,375506.0,https://data.bls.gov/cew/data/api/2017/a/area/30000.csv
MT,2018,47900.0,381664.0,https://data.bls.gov/cew/data/api/2018/a/area/30000.csv
MT,2019,47906.0,386894.0,https://data.bls.gov/cew/data/api/2019/a/area/30000.csv
MT,2020,50347.0,374233.0,https://data.bls.gov/cew/data/api/2020/a/area/30000.csv
MT,2021,52928.0,395464.0,https://data.bls.gov/cew/data/api/2021/a/area/30000.csv
MT,2022,57863.0,413058.0,https://data.bls.gov/cew/data/api/2022/a/area/30000.csv
MT,2023,63578.0,421886.0,https://data.bls.gov/cew/data/api/2023/a/area/30000.csv
MT,2024,61654.0,426650.0,https://data.bls.gov/cew/data/api/2024/a/area/30000.csv
NC,2017,265389.0,3633435.0,https://data.bls.gov/cew/data/api/2017/a/area/37000.csv
NC,2018,270234.0,3710090.0,https://data.bls.gov/cew/data/api/2018/a/area/37000.csv
NC,2019,278786.0,3793234.0,https://data.bls.gov/cew/data/api/2019/a/area/37000.csv
NC,2020,290448.0,3632182.0,https://data.bls.gov/cew/data/api/2020/a/area/37000.csv
NC,2021,307240.0,3828857.0,https://data.bls.gov/cew/data/api/2021/a/area/37000.csv
NC,2022,339053.0,4018296.0,https://data.bls.gov/cew/data/api/2022/a/area/37000.csv
NC,2023,366799.0,4133598.0,https://data.bls.gov/cew/data/api/2023/a/area/37000.csv
NC,2024,368542.0,4184582.0,https://data.bls.gov/cew/data/api/2024/a/area/37000.csv
ND,2017,29849.0,343190.0,https://data.bls.gov/cew/data/api/2017/a/area/38000.csv
ND,2018,29879.0,346756.0,https://data.bls.gov/cew/data/api/2018/a/area/38000.csv
ND,2019,29844.0,351482.0,https://data.bls.gov/cew/data/api/2019/a/area/38000.csv
ND,2020,30337.0,326357.0,https://data.bls.gov/cew/data/api/2020/a/area/38000.csv
ND,2021,30763.0,329050.0,https://data.bls.gov/cew/data/api/2021/a/area/38000.csv
ND,2022,32060.0,339203.0,https://data.bls.gov/cew/data/api/2022/a/area/38000.csv
ND,2023,33394.0,348290.0,https://data.bls.gov/cew/data/api/2023/a/area/38000.csv
ND,2024,34330.0,354071.0,https://data.bls.gov/cew/data/api/2024/a/area/38000.csv
NE,2017,68649.0,811496.0,https://data.bls.gov/cew/data/api/2017/a/area/31000.csv
NE,2018,67975.0,816876.0,https://data.bls.gov/cew/data/api/2018/a/area/31000.csv
NE,2019,67729.0,821384.0,https://data.bls.gov/cew/data/api/2019/a/area/31000.csv
NE,2020,66721.0,790415.0,https://data.bls.gov/cew/data/api/2020/a/area/31000.csv
NE,2021,71482.0,806993.0,https://data.bls.gov/cew/data/api/2021/a/area/31000.csv
NE,2022,73799.0,824945.0,https://data.bls.gov/cew/data/api/2022/a/area/31000.csv
NE,2023,73402.0,845599.0,https://data.bls.gov/cew/data/api/2023/a/area/31000.csv
NE,2024,73388.0,853147.0,https://data.bls.gov/cew/data/api/2024/a/area/31000.csv
NH,2017,49348.0,569014.0,https://data.bls.gov/cew/data/api/2017/a/area/33000.csv
NH,2018,50054.0,574083.0,https://data.bls.gov/cew/data/api/2018/a/area/33000.csv
