state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,first_treatment_year,treated,event_time,cohort
MI,2020,1108,1040,1204,221060.0,4000120.0,5.0122138785849994,5.446485117162761,4.704605084592418,inf,0,,0
MI,2021,1407,1325,1505,224676.0,3768321.0,6.262351118944614,6.698534778970607,5.897381117698375,inf,0,,0
MI,2022,1509,1365,1608,227870.0,3939076.0,6.622196866634485,7.056655110369948,5.990257603019265,inf,0,,0
MI,2023,1396,1222,1502,229564.0,4041074.0,6.081092854280287,6.542837727169766,5.323134289348504,inf,0,,0
MI,2024,1414,1040,1494,229564.0,4041074.0,6.159502360997369,6.507989057517729,4.530327054764685,inf,0,,0
MN,2017,872,847,954,151816.0,2685047.0,5.743795120408916,6.283922643199663,5.579122095167835,inf,0,,0
MN,2018,839,809,914,151595.0,2729492.0,5.5344833272865195,6.029222599689963,5.336587618325142,inf,0,,0
MN,2019,818,781,891,151495.0,2729420.0,5.399518135912077,5.881382223835771,5.155285652991848,inf,0,,0
MN,2020,767,720,823,150819.0,2738254.0,5.085566142196938,5.456872144756297,4.7739343186203325,inf,0,,0
MN,2021,934,876,1004,152836.0,2627416.0,6.1111256510246275,6.5691329267973515,5.731633908241514,inf,0,,0
MN,2022,1058,944,1105,154314.0,2732522.0,6.856150446492218,7.160724237593478,6.117396995735967,inf,0,,0
MN,2023,939,823,1009,154455.0,2803410.0,6.079440613771001,6.532647049302386,5.328412806318993,inf,0,,0
MN,2024,1311,1029,1371,154455.0,2803410.0,8.487909099737788,8.876371758764689,6.662134602311353,inf,0,,0
MO,2017,554,541,665,150882.0,2517204.0,3.671743481661166,4.407417717156453,3.5855834360626186,inf,0,,0
MO,2018,558,541,1115,153710.0,2533694.0,3.630212738273372,7.253919718951272,3.519614859150348,inf,0,,0
MO,2019,568,539,1328,151816.0,2547310.0,3.7413711334773674,8.747431100806239,3.550350424197713,inf,0,,0
MO,2020,595,556,1599,150761.0,2566786.0,3.946644025974887,10.606191256359404,3.6879564343563653,inf,0,,0
MO,2021,651,602,1603,152286.0,2478144.0,4.27485126669556,10.526246667454657,3.9530882681270767,inf,0,,0
