state,year,new_401k_plans,new_401k_with_employees,new_esrp_plans,establishments,employment,qcew_establishments,qcew_employment,rate_per_1000_estabs,esrp_rate_per_1000_estabs,with_employees_rate_per_1000_estabs,new_401k_per_1000_qcew_establishments,esrp_rate_per_1000_qcew_estabs,with_employees_rate_per_1000_qcew_estabs,first_treatment_year,treated,event_time,cohort
NM,2024,223,144,236,44861.0,658702.0,64556.0,686080.0,4.970910144669088,5.260694144134103,3.20991507099708,3.454365202304975,3.6557407522151313,2.2306214759278764,inf,0,,0
NV,2017,442,417,490,66430.0,1191625.0,78292.0,1170769.0,6.653620352250489,7.37618545837724,6.27728435947614,5.645532110560466,6.258621570530833,5.326214683492567,inf,0,,0
NV,2018,486,468,538,67845.0,1221809.0,79623.0,1216080.0,7.1633871324342255,7.929840076645295,6.898076497899623,6.103763987792472,6.756841616115946,5.877698654911269,inf,0,,0
NV,2019,473,443,523,68567.0,1261577.0,81288.0,1250092.0,6.898362185891172,7.627575947613283,6.460833928857905,5.818817045566381,6.433913984844011,5.449758881999803,inf,0,,0
NV,2020,557,515,611,70621.0,1275946.0,85432.0,1111600.0,7.887172370824542,8.651817448067854,7.292448421857521,6.519805225208353,7.151886880794081,6.028186159752786,inf,0,,0
NV,2021,681,624,739,73505.0,1157850.0,92648.0,1204467.0,9.264675872389633,10.0537378409632,8.489218420515611,7.350401519730593,7.976426906139366,6.7351696744668,inf,0,,0
NV,2022,714,615,755,76393.0,1286578.0,103366.0,1315007.0,9.346406084327096,9.883104472922911,8.050475828937207,6.907493760037149,7.304142561383821,5.949732020200066,inf,0,,0
NV,2023,671,603,712,77297.0,1345222.0,107259.0,1354689.0,8.68080261847161,9.211224238974346,7.801078955198779,6.255885287015541,6.638137592183406,5.621905854054205,inf,0,,0
NV,2024,844,654,875,77297.0,1345222.0,106439.0,1377101.0,10.918923114739254,11.319973608290102,8.460871702653403,7.929424365129323,8.220670994654215,6.144364377718693,inf,0,,0
NY,2017,3255,3126,3660,547034.0,8261269.0,623308.0,7899798.0,5.950270001498993,6.690626176800711,5.714452849365853,5.222137370288846,5.871896397928472,5.01517708741104,inf,0,,0
NY,2018,3469,3371,3832,547194.0,8410206.0,622828.0,8017398.0,6.33961629696232,7.003000763897265,6.160520765944071,5.569756016107176,6.152581451058719,5.412409204467365,inf,0,,0
NY,2019,3402,3228,3769,547351.0,8597216.0,626961.0,8121568.0,6.215390124435691,6.885892233685515,5.897495391439862,5.42617483384134,6.011538197750737,5.148645609535522,inf,0,,0
NY,2020,3395,3143,3758,537369.0,8617513.0,635538.0,7207032.0,6.31781885445569,6.993332328437257,5.848867351856917,5.341930773612279,5.913100396829144,4.945416324436934,inf,0,,0
NY,2021,3588,3300,3940,535758.0,7887280.0,645433.0,7460879.0,6.697053520432733,7.35406657483416,6.159497385013383,5.559058802385375,6.104429119676249,5.112846724601934,inf,0,,0
NY,2022,4244,3763,4545,540271.0,8429776.0,669545.0,7908130.0,7.855317053848902,8.412444865632247,6.96502310877319,6.338632952228752,6.788191981121508,5.620234636954947,inf,0,,0
NY,2023,4112,3665,4380,541313.0,8767091.0,681708.0,8097039.0,7.596344443972341,8.09143693205225,6.770574510495776,6.031908089680626,6.425038286187048,5.376202127597153,inf,0,,0
NY,2024,3962,2878,4112,541313.0,8767091.0,691628.0,8303012.0,7.319240439450003,7.596344443972341,5.31670216676858,5.728513015667382,5.94539260990012,4.161196481345463,inf,0,,0
OH,2017,1148,1107,2001,253001.0,4815946.0,281633.0,4646773.0,4.537531472207619,7.909059647985582,4.375476776771634,4.076226862619083,7.10499124747455,3.930647331811258,inf,0,,0
OH,2018,1205,1148,2192,251937.0,4878062.0,283135.0,4687246.0,4.782941767187829,8.700587845374043,4.556694729237865,4.255920320695075,7.741889911173115,4.054602927931905,inf,0,,0
OH,2019,1185,1120,2731,250981.0,4916956.0,287351.0,4711316.0,4.721472940182723,10.881301771847271,4.462489192408987,4.123876374190449,9.504056015117401,3.8976721848888642,inf,0,,0
OH,2020,1229,1159,3678,249857.0,4978720.0,290789.0,4418269.0,4.918813561357096,14.720420080285923,4.638653309693145,4.226432224052491,12.64834639549639,3.9857078500218375,inf,0,,0
OH,2021,1276,1176,3066,252241.0,4822238.0,300640.0,4546542.0,5.058654223540185,12.155042201703926,4.662207967776848,4.2442788717402875,10.198243746673763,3.9116551357104843,inf,0,,0
OH,2022,1332,1206,3154,254594.0,4963808.0,313656.0,4684897.0,5.231859352537765,12.388351650078164,4.736953738108518,4.246690641977198,10.055602315912974,3.8449766623307062,inf,0,,0
OH,2023,1187,1023,2373,255049.0,5081279.0,321911.0,4757108.0,4.654007661272932,9.304094507329964,4.010993965865382,3.6873545793713167,7.371602710065825,3.1778969963747743,inf,0,,0
OH,2024,1233,895,2242,255049.0,5081279.0,328831.0,4784025.0,4.8343651612043175,8.790467714047104,3.5091296182302223,3.7496464749369736,6.818091968214676,2.7217628508261082,inf,0,,0
OK,2017,284,275,343,93674.0,1360720.0,104615.0,1260205.0,3.0317911053227147,3.6616350321327156,2.9357132181822063,2.7147158629259667,3.278688524590164,2.628686134875496,inf,0,,0
OK,2018,340,326,387,93561.0,1385228.0,104889.0,1285704.0,3.633992796143692,4.136338859140026,3.4843577986554224,3.2415219899131467,3.6896147355776105,3.1080475550343696,inf,0,,0
OK,2019,337,321,360,93761.0,1404725.0,105815.0,1296418.0,3.5942449419268137,3.839549492859504,3.423598297799725,3.1848036667769217,3.402164154420451,3.033596371024902,inf,0,,0
OK,2020,329,306,371,93595.0,1405824.0,106844.0,1230661.0,3.515145039799134,3.9638869597734923,3.269405416956034,3.079255737336678,3.4723522144434877,2.8639886189210437,inf,0,,0
OK,2021,362,335,398,94751.0,1346568.0,109957.0,1255233.0,3.8205401526105267,4.200483372207153,3.535582737913056,3.2921960402702872,3.619596751457388,3.0466455068799623,inf,0,,0
OK,2022,440,394,472,95748.0,1390468.0,117212.0,1304605.0,4.595396248485608,4.9296068847391075,4.114968458871203,3.7538818551001607,4.02689144456199,3.36143057024878,inf,0,,0
OK,2023,380,316,414,96402.0,1431690.0,123651.0,1342938.0,3.9418269330511815,4.29451671127155,3.2779402916951934,3.0731656031896226,3.3481330518960624,2.555579817389265,inf,0,,0
OK,2024,448,332,479,96402.0,1431690.0,123123.0,1355649.0,4.64720648949192,4.968776581398727,3.44391195203419,3.6386377849792484,3.890418524564866,2.69649050136855,inf,0,,0
OR,2017,636,601,684,117357.0,1596637.0,144582.0,1596853.0,5.419361435619519,5.828369845854955,5.121126136489515,4.398887828360377,4.730879362576254,4.156810667994633,2017.0,1,0.0,2017
OR,2018,826,797,889,118586.0,1629432.0,149168.0,1648323.0,6.965409070210649,7.496669084040275,6.720860809876377,5.537380671457685,5.959723265043441,5.3429690013944,2017.0,1,1.0,2017
OR,2019,968,883,1017,119074.0,1643425.0,152892.0,1677647.0,8.129398525286796,8.540907334934579,7.415556712632481,6.331266514925568,6.6517541794207675,5.775318525495122,2017.0,1,2.0,2017
OR,2020,852,788,885,118927.0,1664087.0,157335.0,1570539.0,7.164058624198037,7.4415397680930315,6.625913375431987,5.415196872914482,5.624940413766803,5.008421520958465,2017.0,1,3.0,2017
OR,2021,876,787,907,120704.0,1575613.0,165889.0,1613336.0,7.257423117709438,7.514249734888653,6.520082184517498,5.280639463737801,5.467511408230805,4.744136139225627,2017.0,1,4.0,2017
OR,2022,951,793,994,122397.0,1666806.0,177635.0,1675632.0,7.769798279369592,8.121114079593454,6.478916966919124,5.353674669969319,5.595744081965829,4.464210318912376,2017.0,1,5.0,2017
OR,2023,1321,1114,1363,122451.0,1697911.0,186144.0,1702772.0,10.787988664853696,11.130983005447078,9.097516557643466,7.0966563520715145,7.322288121024584,5.984614062231391,2017.0,1,6.0,2017
OR,2024,1117,706,1146,122451.0,1697911.0,180622.0,1701612.0,9.122016153400136,9.358845579047946,5.765571534736344,6.184185758102556,6.3447420579995795,3.9087154388723415,2017.0,1,7.0,2017
PA,2017,1458,1403,1648,302772.0,5433660.0,340718.0,5124456.0,4.815504736237169,5.443039646995098,4.633849893649347,4.279198633474016,4.836844545929479,4.117774816710593,inf,0,,0
